Palavra,Sinônimos
ARTICULAR,"pronunciar , dizer , proferir , falar"
ARTIFICIAL,artificioso
ARTIFÍCIO,artefacto
ASSASSINAR,"matar , trucidar , massacrar , degolar"
ASSASSINO,"assassínio , assassinato , matador, morte , matança , morticínio , homicida, homicídio"
ASSAZ,"bastante , suficiente"
ASSÍDUO,frequente
ASSINAR,"firmar , subscrever"
ASSONÂNCIA,"assoante , consonância , consoante , rima , rimado"
ASSUNTO,"matéria , objeto"
ASTROLOGIA,astronomia
ATA,"auto, assento , registro , termo"
ATAÚDE,"caixão , tumba , esquife , féretro"
ATEU,"incrédulo , descrente , descrido , cético , ímpio , sacrílego , irreligioso, infiel , gentio , pagão , idólatra , heterodoxo , herege , leigo , profano"
ATENÇÃO,"aplicação , reflexão , ponderação , meditação , contensão , apercepção , cogitação , cuidado , vigilância , solicitude , desvelo , dedicação"
ATENTADO,"crime , delito , culpa , falta, pecado, transgressão , infração , violação , quebra, quebrantamento , tentativa"
ATITUDE,"postura , posiç ão, gesto"
ATIVO,"eficaz , enérgico , violento , forte"
ATOR,"cômico , comediante , artista"
ATRIBUIR,imputar
ATRIBUTO,"predicado , propriedade , qualidade"
ATUALMENTE,"presentemente , hoje, agora, presente , atual"
ATUAR,"operar , agir , influir"
ATURAR,"sofrer , suportar , aguentar , tolerar, padecer"
ATURDIR,"atordoar , perturbar , conturbar"
AUGUSTO,"majestoso , imponente , soberano, solene , pontifical , grandioso , glorioso , magnífico , pomposo , esplêndido , ostentoso"
AUMENTAR,"crescer , avolumar-se , avultar, engrandecer , ampliar-se , amplificar-se , dilatar-se , inchar , engrossar , intumescer , empolar , empolamar , exagerar , encorpar"
AURA,"brisa , zéfiro , aragem , viração , favônio"
AUSPÍCIOS,"proteção , patrocínio , salvaguarda"
AUSPICIOSO,"esperançoso , prometedor"
AUSTERO,"severo , rigoroso , rígido , ríspido, duro , inflexível , inexorável , inabalável , inalterável"
AUTÊNTICO,"formal , solene"
AUTONOMIA,"independência , soberania"
AUTOR,"escritor , publicista"
AUTORIDADE,"poder , potestade , força"
AZADO,"oportuno , próprio , conveniente , adequado , propício"
AZIAGO,"funesto , nefasto , infausto , agoirento"
BAILE,"bailado , dança , folia , folgança , fandango , samba , jongo"
BALA,projetil
BALBUCIAR,"gaguejar , tartamudear"
BANAL,"trivial , vulgar , comum , ordinário , corriqueiro , familiar"
BANCARROTA,"falência , quebra"
BANDA,"charanga , fanfarra , filarmônica , orquestra , música"
BANDEIRA,"estandarte , pavilhão , insígnia, vexilo"
BANDIDO,"salteador , malfeitor , bandoleiro, celerado , facínora"
BANIR,"exilar , desterrar , deportar , expatriar, proscrever , degredar"
BARBARIDADE,"crueldade , ferocidade , desumanidade"
BARBARISMO,solecismo
BARCO,"embarcação , navio , nau, fragata , caravela , galera , galé, iate, batel , batelão , alvarenga , lancha , barca , chata , catraia , bote, xaveco , tartana , manchua , gôndola , galeota , canoa , junco , piroga , igara , barcaça, galeão , bergantim , brigue , escuna"
